City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,hambantota,6.1241,81.1185,86.34,84,75,13.8,LK,1651383965
85,brooks,50.5834,-111.8851,49.98,42,100,9.22,CA,1651383963
86,vagur,61.4732,-6.8119,45.66,89,90,7.27,FO,1651383966
87,general roca,-39.0333,-67.5833,46.62,47,32,10.74,AR,1651383850
88,ullapool,57.8987,-5.1604,51.35,92,95,3.51,GB,1651383966
89,khatanga,71.9667,102.5,25.83,78,100,15.32,RU,1651383967
90,gorom-gorom,14.4439,-0.2361,89.04,31,75,6.22,BF,1651383967
91,vikhorevka,56.1201,101.1636,72.99,40,100,12.97,RU,1651383968
92,bengkulu,-3.8004,102.2655,78.64,84,100,4.12,ID,1651383968
93,mayo,38.8876,-76.5119,53.94,74,0,3.44,US,1651383969
94,roald,62.5833,6.1333,45.75,93,20,6.91,NO,1651383969
95,hammerfest,70.6634,23.6821,32.45,86,75,1.14,NO,1651383970
96,pitkyaranta,61.5734,31.4792,35.82,86,100,2.91,RU,1651383970
97,vestmannaeyjar,63.4427,-20.2734,45.14,80,19,14.45,IS,1651383971
98,varhaug,58.6147,5.6457,46.47,75,0,9.01,NO,1651383971
99,bedesa,8.9,40.7833,71.1,50,85,1.81,ET,1651383972
100,fort nelson,58.8053,-122.7002,42.39,52,20,4.61,CA,1651383972
101,amasya,40.6667,35.8333,55.08,86,100,4.18,TR,1651383973
102,marawi,7.9986,124.2928,82.33,66,42,5.5,PH,1651383973
103,sao joao da barra,-21.6403,-41.0511,73.49,93,16,4.63,BR,1651383974
104,fonte boa,-2.4959,-66.2662,71.67,99,48,0.49,BR,1651383975
105,tsiroanomandidy,-18.7667,46.0333,69.44,82,38,4.03,MG,1651383975
106,ternate,0.8,127.4,84.06,70,95,5.59,ID,1651383976
107,kula,38.5473,28.6498,56.32,64,12,7.27,TR,1651383970
108,cauquenes,-35.9671,-72.3225,45.91,69,1,3.36,CL,1651383976
109,hasaki,35.7333,140.8333,63.0,71,100,19.57,JP,1651383977
110,marsala,37.7966,12.4352,61.93,82,20,3.44,IT,1651383738
111,flinders,-34.5833,150.8552,70.88,56,12,4.41,AU,1651383977
112,helong,42.5397,128.9972,50.32,27,88,11.45,CN,1651383978
113,airai,-8.9266,125.4092,75.13,51,60,4.76,TL,1651383978
114,beringovskiy,63.05,179.3167,26.83,96,100,15.88,RU,1651383979
115,mill creek,47.8601,-122.2043,51.12,81,0,4.61,US,1651383979
116,bluff,-46.6,168.3333,52.81,89,100,6.91,NZ,1651383980
117,abu dhabi,24.4667,54.3667,86.11,56,0,4.61,AE,1651383980
118,alofi,-19.0595,-169.9187,76.89,94,98,4.61,NU,1651383981
119,lichinga,-13.3128,35.2406,59.09,88,20,3.44,MZ,1651383981
120,mlonggo,-6.5333,110.7,86.97,64,100,6.08,ID,1651383982
121,bonavista,48.6499,-53.1147,36.3,97,100,7.47,CA,1651383982
122,tambacounda,13.7539,-13.7586,81.34,46,77,9.1,SN,1651383983
123,isangel,-19.55,169.2667,79.45,88,100,5.44,VU,1651383983
124,upernavik,72.7868,-56.1549,-6.79,71,5,5.82,GL,1651383984
125,pisco,-13.7,-76.2167,64.02,82,0,11.5,PE,1651383984
126,batagay,67.6333,134.6333,36.93,78,17,14.54,RU,1651383985
127,bambous virieux,-20.3428,57.7575,80.85,74,40,6.91,MU,1651383985
128,inhambane,-23.865,35.3833,71.58,88,40,0.0,MZ,1651383986
129,san policarpo,12.1791,125.5072,84.02,68,56,8.28,PH,1651383986
130,kungalv,57.871,11.9805,48.06,68,65,3.02,SE,1651383987
131,irbit,57.6705,63.071,48.29,36,61,10.11,RU,1651383987
132,linfen,36.0889,111.5189,74.43,12,0,14.45,CN,1651383988
133,raigarh,21.9,83.4,107.85,12,68,3.06,IN,1651383988
134,te anau,-45.4167,167.7167,53.87,95,100,1.68,NZ,1651383989
135,oneonta,42.4529,-75.0638,38.3,89,55,1.97,US,1651383989
136,padang,-0.9492,100.3543,84.25,76,99,5.37,ID,1651383990
137,osakarovka,50.565,72.5692,77.41,26,92,14.16,KZ,1651383990
138,lokachi,50.737,24.6494,53.74,69,38,1.63,UA,1651383991
139,san patricio,28.017,-97.5169,78.66,93,14,7.9,US,1651383991
140,torbay,47.6666,-52.7314,43.57,96,100,11.5,CA,1651383992
141,olinda,-8.0089,-34.8553,80.33,74,75,8.05,BR,1651383993
142,traverse city,44.7631,-85.6206,50.83,74,0,17.27,US,1651383978
143,marienburg,54.0359,19.0266,51.12,68,100,3.38,PL,1651383993
144,cherskiy,68.75,161.3,28.26,80,83,9.37,RU,1651383994
145,chicama,-7.8447,-79.1469,67.23,83,51,4.81,PE,1651383995
146,lagoa,39.05,-27.9833,60.21,88,2,5.41,PT,1651383995
147,port hardy,50.6996,-127.4199,48.2,87,40,2.3,CA,1651383996
148,nioki,-2.7167,17.6833,74.59,85,62,1.59,CD,1651383996
149,meulaboh,4.1363,96.1285,86.56,65,100,4.9,ID,1651383997
150,elmina,5.0898,-1.348,79.7,84,43,2.89,GH,1651383997
151,araouane,18.9048,-3.5265,73.9,19,17,13.29,ML,1651383998
152,lorengau,-2.0226,147.2712,83.26,74,100,4.52,PG,1651383998
153,kupang,-10.1667,123.5833,88.03,60,17,11.36,ID,1651383999
154,manokwari,-0.8667,134.0833,81.5,79,100,3.47,ID,1651383999
155,changde,29.0464,111.6783,69.17,50,100,9.13,CN,1651384000
156,camana,-16.6228,-72.7111,64.74,85,70,5.97,PE,1651384000
157,podgornoye,51.735,39.1496,46.62,31,0,6.71,RU,1651384001
158,grindavik,63.8424,-22.4338,44.55,81,75,14.97,IS,1651384001
159,porto seguro,-16.4497,-39.0647,72.12,94,20,5.75,BR,1651383818
160,clyde river,70.4692,-68.5914,12.43,92,100,4.61,CA,1651384002
161,miraflores,19.2167,-98.8083,68.04,57,93,5.35,MX,1651384002
162,chuhar kana,31.75,73.8,108.45,9,0,8.08,PK,1651384003
163,new norfolk,-42.7826,147.0587,67.5,80,100,1.01,AU,1651384003
164,gat,31.61,34.7642,68.77,100,70,11.7,IL,1651383960
165,bathsheba,13.2167,-59.5167,79.41,83,40,14.97,BB,1651384004
166,leningradskiy,69.3833,178.4167,12.29,90,50,1.45,RU,1651384004
167,sioux lookout,50.1001,-91.917,39.27,70,100,4.61,CA,1651384005
168,myrtle beach,33.6891,-78.8867,69.04,84,0,4.61,US,1651383934
169,bahia blanca,-38.7196,-62.2724,48.16,53,64,5.75,AR,1651383987
170,carnarvon,-24.8667,113.6333,78.87,65,0,14.97,AU,1651384006
171,pontes e lacerda,-15.2261,-59.3353,68.92,87,44,2.51,BR,1651384006
172,mitsamiouli,-11.3847,43.2844,79.16,81,100,8.46,KM,1651384007
173,ponta do sol,32.6667,-17.1,65.03,53,0,3.65,PT,1651384007
174,fortuna,40.5982,-124.1573,52.66,93,100,5.75,US,1651383798
175,sampit,-2.5333,112.95,94.77,46,65,2.53,ID,1651384008
176,taltal,-25.4,-70.4833,59.07,83,9,1.01,CL,1651384009
177,galveston,29.3669,-94.9669,76.03,91,0,9.78,US,1651383845
178,college,64.8569,-147.8028,52.12,28,40,5.75,US,1651384009
179,swan hill,-35.3378,143.5544,66.27,48,15,5.7,AU,1651384010
180,pa sang,18.5262,98.9394,99.86,30,91,2.15,TH,1651384010
181,progreso,21.2833,-89.6667,76.1,85,1,10.27,MX,1651384011
182,alugan,12.2188,125.4808,84.33,67,50,8.19,PH,1651384011
183,lasa,46.6166,10.7002,42.69,91,99,2.71,IT,1651384012
184,husavik,66.0449,-17.3389,35.53,94,46,17.56,IS,1651384012
185,namibe,-15.1961,12.1522,74.23,85,86,2.62,AO,1651384013
186,bowen,-20.0167,148.2333,78.85,70,13,16.96,AU,1651383897
187,sumbe,-11.2061,13.8437,76.62,86,97,6.06,AO,1651384013
188,aksay,47.26,39.87,55.26,60,24,14.0,RU,1651384014
189,umarga,17.8333,76.6167,100.35,16,11,9.84,IN,1651384014
190,sept-iles,50.2001,-66.3821,36.12,82,100,11.5,CA,1651383738
191,salinas,36.6777,-121.6555,54.41,72,0,19.57,US,1651383725
192,barkly west,-28.5354,24.5215,42.08,49,0,6.93,ZA,1651384015
193,mukhen,48.1,136.1,49.44,56,100,6.13,RU,1651384016
194,nouakchott,18.0858,-15.9785,66.13,70,22,10.09,MR,1651383803
195,simbahan,6.3032,120.5836,82.92,77,94,3.69,PH,1651384016
196,xiongzhou,25.1167,114.3,61.03,84,100,5.23,CN,1651384017
197,henties bay,-22.116,14.2845,57.83,86,0,3.89,NA,1651384018
198,poddorye,57.4695,31.1156,43.65,49,72,3.89,RU,1651384018
199,tagusao,9.1924,117.8141,85.71,70,94,1.48,PH,1651384019
200,lavrentiya,65.5833,-171.0,24.22,86,98,9.4,RU,1651384019
201,koumac,-20.5667,164.2833,77.4,78,43,5.41,NC,1651384020
202,emirdag,39.0197,31.15,48.47,88,100,8.16,TR,1651384021
203,alyangula,-13.8483,136.4192,78.67,89,75,3.44,AU,1651384022
204,kampong thum,12.7111,104.8887,92.44,52,84,5.95,KH,1651384022
205,la peca,-5.6111,-78.435,67.68,86,100,1.12,PE,1651384023
206,general pico,-35.6566,-63.7568,45.55,65,0,6.35,AR,1651384024
207,oranjestad,12.524,-70.027,80.55,89,20,17.27,AW,1651383837
208,tuktoyaktuk,69.4541,-133.0374,35.6,75,20,11.5,CA,1651384025
209,mar del plata,-38.0023,-57.5575,47.88,73,0,8.05,AR,1651384025
210,longyearbyen,78.2186,15.6401,15.64,57,0,5.75,SJ,1651383747
211,san rafael del sur,11.8485,-86.4384,79.77,77,100,10.22,NI,1651384026
212,juba,4.8517,31.5825,74.55,71,100,5.68,SS,1651384027
213,kano,12.0001,8.5167,80.49,50,0,11.5,NG,1651384028
